feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr
liwc_conjunctions,-0.02724059529919454,0.04235703702059517,-0.11025886235139083,0.05577767175300176,0.5201471930086821,348,104,0.7481569214508441
liwc_colons,-0.02775732889584252,0.04397944156165534,-0.11395545041687098,0.058440792625185936,0.5279468460778638,348,104,0.7491137680834553
liwc_function_words,0.02557436061330499,0.042353694521891014,-0.057437355261812775,0.10858607648842276,0.5459577825584139,348,104,0.7643408955817794
liwc_affective_processes,-0.02200028464854414,0.038003077788490144,-0.09648494841565891,0.05248437911857062,0.562651271571561,348,104,0.7773471515133409
liwc_perceptual_processes,0.022254874758638233,0.039421881112718535,-0.05501059242510989,0.09952034194238635,0.5723927952578411,348,104,0.7805356298970562
liwc_question_marks,0.02148251275078358,0.03967929769158899,-0.05628748165657414,0.09925250715814131,0.5882294587855283,348,104,0.7918473483651343
liwc_anxiety_words,-0.020687062658425594,0.0399674931052092,-0.09902190969698857,0.057647784380137373,0.6047393334006228,348,104,0.7939297606218906
liwc_motion,-0.02066925880585421,0.03995073968975861,-0.09897126975351599,0.05763275214180756,0.6048988652357261,348,104,0.7939297606218906
liwc_we,-0.0199233132063593,0.040092341143513045,-0.09850285790353827,0.058656231490819666,0.6192344377055682,348,104,0.7945244841215588
liwc_concrete,-0.02080409359675218,0.04352646573315926,-0.10611439880806114,0.06450621161455677,0.6326756657727894,348,104,0.7945244841215588
liwc_action,-0.018491265670032408,0.03930130255700816,-0.09552040322728034,0.058537871887215515,0.6379977830285323,348,104,0.7945244841215588
liwc_agency_language,0.018087445391928754,0.039738615513824016,-0.05979880981065098,0.0959737005945085,0.6489938245809364,348,104,0.7945244841215588
liwc_swear_words,0.020255352258981382,0.04460425743375482,-0.06716738586833104,0.1076780903862938,0.649747834153618,348,104,0.7945244841215588
liwc_commas,-0.018234101538817278,0.0402771468650894,-0.09717585879442284,0.06070765571678829,0.6507533869948006,348,104,0.7945244841215588
liwc_differentiation,-0.017679450915451422,0.04106668553534481,-0.09816867552915924,0.0628097736982564,0.6668276669725033,348,104,0.8010831858704849
liwc_informal_language,0.017568930978334545,0.04207580195767171,-0.0648981254793419,0.100035987436011,0.6762730340175849,348,104,0.8010831858704849
liwc_power,0.015058349823275825,0.03638953904295294,-0.05626383611492608,0.08638053576147772,0.6790133670711729,348,104,0.8010831858704849
liwc_insight,-0.015673549780957943,0.04146640333045302,-0.09694620687705761,0.06559910731514172,0.7054440424176585,348,104,0.8230180494872682
liwc_high_empathy,0.014466712050016775,0.044697463988168484,-0.0731387075670695,0.10207213166710305,0.746196628702387,348,104,0.8587298066350427
liwc_biological_processes,0.01257016118158449,0.03984682814884757,-0.06552818688831356,0.09066850925148255,0.7524108781945136,348,104,0.8587298066350427
liwc_ingestion,-0.010792047047353344,0.038586062319516265,-0.08641933949882329,0.0648352454041166,0.7797171153505793,348,104,0.878797918971564
liwc_friends,0.01215215423238581,0.04491566605278502,-0.07588093357270115,0.10018524203747278,0.786733375079305,348,104,0.878797918971564
liwc_risk,-0.009175436792293178,0.03787830553766377,-0.08341555144151824,0.0650646778569319,0.8085983740076097,348,104,0.8937139923242002
