feature,coef,SE,CI_lower,CI_upper,p_value,n_obs,n_subjects,p_fdr,p_bonferroni
liwc_motion,-0.21173893038391234,0.3795098674425549,-0.95556460234889,0.5320867415810653,0.5768940022213691,348.0,104.0,0.7478255584351081,1.0
liwc_concrete,-0.21801054862668554,0.40755900006232093,-1.016811510323992,0.5807904130706211,0.5927067247156217,348.0,104.0,0.7589537328675644,1.0
liwc_insight,-0.20017002050877766,0.39032265108375513,-0.9651883589831316,0.5648483179655763,0.6080687094597822,348.0,104.0,0.7606533633869318,1.0
liwc_function_words,0.20290225253393904,0.39615159343969203,-0.5735406030260113,0.9793451080938893,0.6085226907095455,348.0,104.0,0.7606533633869318,1.0
liwc_swear_words,-0.1574104598251771,0.32139902237296347,-0.7873409683425686,0.4725200486922144,0.6242991705162101,348.0,104.0,0.7711930929906124,1.0
liwc_home,0.17123908204263177,0.35932421463714703,-0.5330234374193166,0.87550160150458,0.6336763956399116,348.0,104.0,0.773674669095241,1.0
liwc_informal_language,0.16199315033419223,0.38701660122245846,-0.5965454494809266,0.9205317501493111,0.6755311520066567,348.0,104.0,0.8152962179390684,1.0
liwc_risk,-0.11800333529146916,0.3505003604143279,-0.8049714182718603,0.568964747688922,0.7363648658335555,348.0,104.0,0.8786171694604924,1.0
liwc_other_punctuation,0.10242235737045978,0.32720425620985333,-0.5388862003890691,0.7437309151299887,0.7542634215379977,348.0,104.0,0.8898613400167389,1.0
liwc_anger_words,0.1095636007182931,0.37758272754620986,-0.6304849464566781,0.8496121478932642,0.7716853335752314,348.0,104.0,0.8935558889375881,1.0
liwc_abstract,0.1120512939699946,0.3909612757238666,-0.6542187257986176,0.8783213137386068,0.7744151037459097,348.0,104.0,0.8935558889375881,1.0
liwc_power,0.08907082250315973,0.3334569741076951,-0.564492837141628,0.7426344821479474,0.7893818589417784,348.0,104.0,0.9009249477052905,1.0
liwc_assent,-0.10276252463059725,0.40298222583773863,-0.8925931736823514,0.687068124421157,0.798719156682761,348.0,104.0,0.9017796930289237,1.0
liwc_articles,0.08166621927270466,0.38206042964366194,-0.6671584627467719,0.8304909012921813,0.8307403800023501,348.0,104.0,0.9254369959404761,1.0
liwc_agency_language,0.07789647478264847,0.3793386040945322,-0.6655935271883329,0.8213864767536299,0.8373001391842403,348.0,104.0,0.9254369959404761,1.0
liwc_prepositions,-0.05847783279559523,0.3437960157926604,-0.7323056417775733,0.6153499761863828,0.8649357699301611,348.0,104.0,0.9439505435780763,1.0
liwc_personal_pronouns,-0.059079247552115854,0.44895549415232633,-0.9390158467520584,0.8208573516478266,0.8953064917629773,348.0,104.0,0.9439505435780763,1.0
liwc_all_punctuation,0.05015865331832507,0.38721835077560174,-0.7087753683548517,0.8090926749915017,0.8969336696847662,348.0,104.0,0.9439505435780763,1.0
liwc_commas,-0.041715413055019204,0.3771640331438852,-0.7809433342809055,0.697512508170867,0.9119312956414167,348.0,104.0,0.9439505435780763,1.0
liwc_interrogatives,0.03237769297547964,0.3656945994137824,-0.6843705512163363,0.7491259371672956,0.9294494646239655,348.0,104.0,0.9439505435780763,1.0
liwc_question_marks,0.030024410323699704,0.3427605160053589,-0.6417738563691685,0.701822677016568,0.9301978738740089,348.0,104.0,0.9439505435780763,1.0
liwc_high_empathy,0.03486389856339067,0.4166997827135951,-0.7818526679209219,0.8515804650477032,0.9333214283895307,348.0,104.0,0.9439505435780763,1.0
liwc_biological_processes,-0.03052286032519072,0.37323350167105374,-0.7620470814242261,0.7010013607738447,0.9348220342808643,348.0,104.0,0.9439505435780763,1.0
liwc_personal_concerns,0.030623823818781384,0.37526730605431385,-0.7048865806230435,0.7661342282606063,0.9349605384011422,348.0,104.0,0.9439505435780763,1.0
liwc_friends,0.016684801364845507,0.3787349615638992,-0.7256220829865585,0.7589916857162495,0.9648613359145402,348.0,104.0,0.9648613359145402,1.0
