feature,b_cross,SE_cross,CI_lo,CI_hi,p_cross,b_AR,p_AR,n,n_subj,q_cross
liwc_allure,-0.07360156882418488,0.04583020228736808,-0.16342711471161153,0.01622397706324176,0.10828223314162928,0.5883793648362036,2.5001439765005943e-08,244,89,0.8130958429331944
liwc_inaction,0.07334027429346493,0.04707426476121114,-0.018923589237211907,0.16560413782414177,0.11924045039526239,0.5901382133172964,1.1150889782812516e-09,244,89,0.8130958429331944
liwc_netspeak,-0.07458401100095269,0.04823700132679811,-0.16912679632368777,0.019958774321782405,0.1220564759892371,0.6109844879753058,1.5253630476787586e-10,244,89,0.8130958429331944
liwc_comparisons,-0.06775647621753798,0.04417706015243348,-0.15434192305916716,0.018828970624091182,0.12509166814356837,0.6115254717712323,3.137733682087864e-10,244,89,0.8130958429331944
liwc_numbers,0.06006547421707709,0.04540324183910453,-0.028923244568929925,0.14905419300308412,0.18585746003722936,0.6059702939003517,3.0045495587962033e-10,244,89,0.9148964165275159
liwc_time_orientation,0.05805845265490354,0.044137983258018924,-0.028450404881045437,0.1445673101908525,0.1883804562645518,0.620497550795874,4.111184439694472e-11,244,89,0.9148964165275159
liwc_avoidance,-0.06125403981548422,0.04768726976666761,-0.15471937107919853,0.03221129144823008,0.1989689568620706,0.6345255731369166,4.613682289317331e-10,244,89,0.9148964165275159
liwc_clout,-0.06071593498742483,0.04790736544649651,-0.15461264585675663,0.03318077588190697,0.20502617542813983,0.5969003310024535,1.2705135995518022e-09,244,89,0.9148964165275159
liwc_female,-0.06080046910722232,0.04931607010083779,-0.15745819036391698,0.03585725214947235,0.2176230155124238,0.6014884239831046,5.197384217129758e-10,244,89,0.9148964165275159
liwc_adjectives,-0.05513907636201636,0.04550957093879516,-0.14433619635392558,0.034058043629892856,0.22566822570248346,0.6142187950873994,1.541171631557814e-09,244,89,0.9148964165275159
liwc_reward,-0.053056700510867416,0.044399147294610426,-0.14007743015259283,0.033964029130858,0.23208949852906546,0.6026931021836015,2.4535166561911845e-09,244,89,0.9148964165275159
liwc_pronouns,0.05274253510357935,0.04526169023109984,-0.03596874762878474,0.14145381783594344,0.2439057372135891,0.6173623417411811,4.4988193734918556e-11,244,89,0.9148964165275159
liwc_focus_past,0.05239757660055785,0.04563827505683446,-0.037051798827370384,0.14184695202848607,0.2509248149965636,0.5985562870606882,2.333862196383252e-09,244,89,0.9148964165275159
liwc_discrepancies,0.049778958165685505,0.04608707824842989,-0.0405500553539164,0.1401079716852874,0.28009470569826544,0.5890914205999702,1.5580063751687704e-08,244,89,0.9148964165275159
liwc_authentic,0.0483767611356635,0.045732832208901994,-0.04125794290479777,0.13801146517612478,0.2901409371939113,0.6137496700314673,1.8739740946858765e-10,244,89,0.9148964165275159
liwc_anxiety_words,-0.04808204956347883,0.04547883431520184,-0.13721892688013876,0.04105482775318111,0.2904020006914272,0.6225281858596985,8.498875193986788e-10,244,89,0.9148964165275159
liwc_family,-0.049140615734024326,0.04766506991758885,-0.14256243609308203,0.04428120462503338,0.3025611988620809,0.6264498509444498,1.0079439246488434e-11,244,89,0.9148964165275159
liwc_affective_processes,-0.04550302672026379,0.045217064412121394,-0.1341268444546495,0.04312079101412194,0.3142596371852515,0.6199879174428339,5.987721338381093e-10,244,89,0.9148964165275159
liwc_adverbs,-0.045722836531955836,0.04651149464856707,-0.13688369091027475,0.04543801784636308,0.3255858812358007,0.5943258124823563,3.1469983379388335e-09,244,89,0.9148964165275159
liwc_verbs,0.0420261677365609,0.044596938592990965,-0.04538222572644579,0.1294345611995676,0.346010692337435,0.610993522890424,1.906184482160374e-10,244,89,0.9148964165275159
liwc_action,0.041762530834304486,0.04456789322301091,-0.04558893474962366,0.12911399641823262,0.3487306867795593,0.5989894470827433,1.0839954818383007e-09,244,89,0.9148964165275159
liwc_achievement,-0.04192574137585233,0.04487476604465833,-0.1298786666380436,0.046027183886338925,0.3501578124043657,0.61635540937487,3.617291319092342e-10,244,89,0.9148964165275159
liwc_cognitive_processes,0.04287750221834455,0.04632016417734103,-0.04790835132722625,0.13366335576391536,0.35461395835853227,0.6066233940804315,6.593211202020068e-10,244,89,0.9148964165275159
liwc_commas,0.04163870321000481,0.04527714460200915,-0.047102869532745235,0.13038027595275486,0.35776057075277523,0.6263192605567545,1.6874660720512657e-10,244,89,0.9148964165275159
