outcome,feature,coef,SE,CI_lo,CI_hi,p,n,q_fdr,group
BHOL,F0final_sma_upleveltime90,0.07382978205732937,0.05662465194428967,-0.03715249639059433,0.18481206050525306,0.19228635927964122,348,0.8547766586400889,F0
BHOL,F0final_sma_risetime,-0.10590853869392752,0.06534404910862092,-0.23398052155084115,0.0221634441629861,0.10506413722360912,348,0.8547766586400889,F0
BHOL,F0final_sma_leftctime,-0.07238237055931199,0.0678491841312496,-0.20536432783698777,0.060599586718363796,0.28605642756177097,348,0.878347263088049,F0
BHOL,F0final_sma_lpgain,-0.0208196990711799,0.06679388586052286,-0.15173330974528385,0.11009391160292406,0.7552680176244521,348,0.9119274306402481,F0
BHOL,F0final_sma_lpc0,0.1191400325179196,0.06312775768409647,-0.0045880989676811285,0.24286816400352035,0.0591220830331484,348,0.8547766586400889,F0
BHOL,F0final_sma_lpc1,-0.10323728234079671,0.06424172846889754,-0.22914875644443736,0.022674191762843937,0.10805155207248264,348,0.8547766586400889,F0
BHOL,F0final_sma_lpc2,-0.07185754093528071,0.05595982372662027,-0.18153678002066642,0.03782169815010501,0.19910989839008653,348,0.8547766586400889,F0
BHOL,F0final_sma_lpc3,0.023950349840603027,0.051500407690160975,-0.07698859442124212,0.12488929410244817,0.6418944655693406,348,0.9119274306402481,F0
BHOL,F0final_sma_lpc4,-0.01601416772486689,0.055285271176719615,-0.12437130810676766,0.0923429726570339,0.7720730932280848,348,0.9119274306402481,F0
BHOL,F0final_sma_de_amean,-0.049474564134692874,0.05292749024504112,-0.1532105388070685,0.05426141053768276,0.34991138093426843,348,0.878347263088049,F0
BHOL,F0final_sma_de_flatness,0.019873769036989265,0.05302783408209452,-0.08405887594208158,0.12380641401606013,0.707824126396347,348,0.9119274306402481,F0
BHOL,F0final_sma_de_posamean,-0.08356712008253286,0.05733933561113251,-0.19595015277780756,0.02881591261274183,0.1450022810509485,348,0.8547766586400889,F0
BHOL,F0final_sma_de_rqmean,-0.024938095436057215,0.05322313920093842,-0.12925353141405843,0.07937734054194401,0.6393860370676355,348,0.9119274306402481,F0
BHOL,F0final_sma_de_range,-0.02130018637960979,0.052553001077860324,-0.12430217577171067,0.0817018030124911,0.6852506425954528,348,0.9119274306402481,F0
BHOL,F0final_sma_de_maxPos,-0.018519151376795346,0.05318182657116209,-0.12275361608832831,0.08571531333473763,0.7276724874374934,348,0.9119274306402481,F0
BHOL,F0final_sma_de_minPos,0.00965871452743001,0.05434718143496014,-0.09685980374635571,0.11617723280121574,0.8589409491453877,348,0.9782383031933581,F0
BHOL,F0final_sma_de_linregc1,0.04775706935754836,0.05378813691213211,-0.057665741785740056,0.15317988050083678,0.37460872099149445,348,0.878347263088049,F0
BHOL,F0final_sma_de_linregc2,0.0630855763317568,0.05223250762105074,-0.03928825742771655,0.16545941009123016,0.22713043589831627,348,0.8547766586400889,F0
BHOL,F0final_sma_de_linregerrQ,0.0009843578967761674,0.05852234371205186,-0.11371732806971957,0.11568604386327191,0.9865800498481563,348,0.9869476008042948,F0
BHOL,F0final_sma_de_qregc1,-0.04585521118912318,0.05334037513038563,-0.150400425366535,0.058690002988288636,0.3899700366949528,348,0.878347263088049,F0
BHOL,F0final_sma_de_qregc2,0.0486845264465348,0.053587622606328086,-0.056345283878992666,0.15371433677206225,0.3636124255478559,348,0.878347263088049,F0
BHOL,F0final_sma_de_qregc3,0.06294735843236372,0.05223913992715448,-0.0394394744082074,0.16533419127293486,0.22820925218109966,348,0.8547766586400889,F0
BHOL,F0final_sma_de_qregerrQ,0.0014337545949354086,0.05851064072942921,-0.11324499394710824,0.11611250313697905,0.9804504587942936,348,0.9869476008042948,F0
BHOL,F0final_sma_de_centroid,-0.015417737599319746,0.05204202818546554,-0.11741823852525059,0.08658276332661109,0.7670349595523582,348,0.9119274306402481,F0
BHOL,F0final_sma_de_quartile1,0.005231620055296394,0.06050754362510538,-0.1133609862428963,0.1238242263534891,0.9310989415697122,348,0.9869476008042948,F0
BHOL,F0final_sma_de_quartile2,-0.033303470347897574,0.0609547841057108,-0.15277265188050526,0.08616571118471011,0.5848160816134831,348,0.9119274306402481,F0
BHOL,F0final_sma_de_quartile3,-0.07667568359151755,0.061729640683816235,-0.19766355611039585,0.044312188927360746,0.2141919180845162,348,0.8547766586400889,F0
BHOL,F0final_sma_de_iqr1-2,-0.017013361135845187,0.06047960774121429,-0.13555121410773505,0.10152449183604467,0.7784746359124068,348,0.9119274306402481,F0
BHOL,F0final_sma_de_iqr2-3,-0.029286967214177312,0.06065711058673622,-0.14817271937044352,0.08959878494208891,0.6292176826988027,348,0.9119274306402481,F0
BHOL,F0final_sma_de_iqr1-3,-0.024749905502586187,0.06049201286161581,-0.1433120720636869,0.09381226105851453,0.6824344562206429,348,0.9119274306402481,F0
BHOL,F0final_sma_de_percentile1.0,0.005411915336766007,0.05907883253328203,-0.11038046867714,0.12120429935067202,0.9270118937596075,348,0.9869476008042948,F0
BHOL,F0final_sma_de_percentile99.0,-0.04582959224089867,0.05936428492878399,-0.1621814526692892,0.07052226818749188,0.4401107931385898,348,0.878347263088049,F0
BHOL,F0final_sma_de_pctlrange0-1,-0.025260634780855284,0.05929811037596056,-0.14148279546901887,0.0909615259073083,0.6701122727478855,348,0.9119274306402481,F0
BHOL,F0final_sma_de_stddev,-0.02492540995275574,0.05322237270978967,-0.12923934363571093,0.07938852373019945,0.6395516253703961,348,0.9119274306402481,F0
BHOL,F0final_sma_de_skewness,-0.0685108391289193,0.051916969562956404,-0.17026622965877602,0.03324455140093745,0.1869608426067486,348,0.8547766586400889,F0
BHOL,F0final_sma_de_kurtosis,0.0008895982615176147,0.054378129874716484,-0.10568957783956826,0.10746877436260349,0.9869476008042948,348,0.9869476008042948,F0
BHOL,F0final_sma_de_upleveltime25,0.07710668635778901,0.05129084904929531,-0.023421530515310263,0.1776349032308883,0.13275590608941043,348,0.8547766586400889,F0
BHOL,F0final_sma_de_upleveltime50,0.06520429216479165,0.0513400327902144,-0.035420323069133994,0.1658289073987173,0.2040676284460996,348,0.8547766586400889,F0
